company_name,风险评分,风险等级
TCL通讯科技（成都）有限公司,100,A
一众工程咨询集团有限公司,100,A
一匀（成都）科技有限公司,90,A
一城（成都）工程咨询有限公司,90,A
一夫当关体育科技（成都）有限公司,90,A
一智科技（成都）有限公司,80,B
一汽（四川）专用汽车有限公司,70,C
一石数字技术成都有限公司,90,A
一起生活网络成都有限公司,100,A
七迈车科技集团有限公司,65,D
万商云集（成都）科技股份有限公司,95,A
万基泰科工集团（四川）有限公司,90,A
万岩铁路装备（成都）有限责任公司,90,A
万物共算（成都）科技有限责任公司,100,A
万物镜像科技（成都）有限公司,100,A
万瞳智能科技成都有限公司,90,A
万硕（成都）航空科技有限公司,100,A
万维智银（成都）科技有限公司,70,C
万象光形生物科技（成都）有限公司,90,A
三奇忆氧科技（四川）有限公司,80,B
三意科技（成都）有限公司,90,A
三投成都信息科技有限公司,90,A
上亿互动（成都）网络科技有限公司,90,A
上加下信息技术成都有限公司,100,A
上屋云创电子商务有限公司,85,B
上扬软件（成都）有限公司,100,A
上海一诺合创智能科技有限公司,90,A
上海吉诚智讯网络科技有限公司,90,A
上海巨硬铭锡科技有限公司,90,A
上海恒鼎盛科学仪器有限公司,90,A
上海迅投宽谷科技有限公司,100,A
上海龙兵兵数字科技有限公司,90,A
上银优势（成都）科技有限公司,90,A
下一把科技（成都）有限公司,90,A
与川行网络科技（成都）有限公司,90,A
专知利乎成都知识产权运营有限公司,90,A
世优宇宙（成都）科技有限公司,90,A
世纪网通成都科技有限公司,100,A
世邦德（成都）信息科技有限公司,90,A
丙坤数字科技（成都）有限公司,90,A
业兢集团有限公司,85,B
业成科技（成都）有限公司,95,A
东方凯特瑞（成都）环保科技有限公司,65,D
东方日立（成都）电控设备有限公司,95,A
东方电气中能工控网络安全技术（成都）有限责任公司,90,A
东方电气氢能（成都）有限公司,90,A
东方电气洁能科技成都有限公司,100,A
东方电气集团国际合作有限公司,95,A
东方电气集团科学技术研究院有限公司,100,A
东方电气（成都）工程设计咨询有限公司,100,A
东晶锐康晶体（成都）有限公司,50,E
东营慧思远信息科技有限公司,90,A
东营谨秋信息科技有限公司,90,A
东辉众创（成都）科技有限公司,90,A
东领大数据科技成都有限公司,100,A
丝路三芯（成都）智能科技有限公司,90,A
两英里科技成都有限公司,100,A
严格科创产业发展集团（成都）有限公司,100,A
中为新智（成都）科技有限责任公司,90,A
中久安特装备有限公司,90,A
中之保金融科技（成都）有限公司,90,A
中云汇（成都）物联科技有限公司,80,B
中优环境检测成都有限责任公司,100,A
中信国安建工集团有限公司,40,E
中健天康（成都）科技有限公司,90,A
中储粮成都储藏研究院有限公司,100,A
中储粮成都储藏研究院有限公司,100,A
中储粮成都储藏研究院有限公司,100,A
中兴视觉智能科技成都有限公司,90,A
中农同辰空间信息技术有限公司,90,A
中农工科（成都）农业发展有限公司,90,A
中冶交投善筑成都装配式建筑科技发展有限公司,90,A
中冶成都勘察研究总院有限公司,100,A
中凌启创（成都）科技有限公司,90,A
中创为（成都）量子通信技术有限公司,75,C
中创华源科技有限公司,90,A
中创博瑞建设工程有限公司,100,A
中创远大信息技术股份有限公司,90,A
中创金建技术集团有限公司,95,A
中动信息产业集团有限公司,100,A
中化学七化建化工工程（成都）有限公司,100,A
中化融信成都科技有限公司,100,A
中化资本数字科技有限公司,90,A
中卫物联成都科技有限公司,90,A
中和技术有限公司,90,A
中唐工程设计有限公司,100,A
中唐数智科技有限公司,90,A
中唐空铁多式联运有限公司,90,A
中唐空铁科技有限公司,75,C
中唐通信服务有限公司,95,A
中唯信工程顾问集团有限责任公司,100,A
中商巨建智慧交通科技有限公司,90,A
中固维科（成都）动力技术有限公司,100,A
中国五冶集团有限公司,100,A
中国化学工程第七建设有限公司,90,A
中国医药集团总公司四川抗菌素工业研究所,100,A
中国华西工程设计建设有限公司,100,A
中国安能集团第三工程局有限公司,80,B
